Date,Source_currency,Target_currency,Exchange_rate
2022-01-04,GBP,USD,1.353079
2022-01-04,GBP,EUR,1.199173
2022-01-04,GBP,AED,4.96999
2022-01-04,GBP,AFN,141.937161
2022-01-04,GBP,ALL,143.257199
2022-01-04,GBP,AMD,652.592338
2022-01-04,GBP,ANG,2.437572
2022-01-04,GBP,AOA,748.831944
2022-01-04,GBP,ARS,139.508021
2022-01-04,GBP,AUD,1.868745
2022-01-04,GBP,AWG,2.435543
2022-01-04,GBP,AZN,2.297706
2022-01-04,GBP,BAM,2.345968
2022-01-04,GBP,BBD,2.730964
2022-01-04,GBP,BDT,116.041607
2022-01-04,GBP,BGN,2.345034
2022-01-04,GBP,BHD,0.510125
2022-01-04,GBP,BIF,2712.923937
2022-01-04,GBP,BMD,1.353079
2022-01-04,GBP,BND,1.836245
2022-01-04,GBP,BOB,9.325795
2022-01-04,GBP,BRL,7.682237
2022-01-04,GBP,BSD,1.352528
2022-01-04,GBP,BTC,2.9499913e-05
2022-01-04,GBP,BTN,100.684327
2022-01-04,GBP,BWP,15.894357
2022-01-04,GBP,BYN,3.489511
2022-01-04,GBP,BYR,26520.353695
2022-01-04,GBP,BZD,2.726286
2022-01-04,GBP,CAD,1.718993
2022-01-04,GBP,CDF,2712.923833
2022-01-04,GBP,CHF,1.239732
2022-01-04,GBP,CLF,0.041555
2022-01-04,GBP,CLP,1146.639875
2022-01-04,GBP,CNY,8.599229
2022-01-04,GBP,COP,5520.969346
2022-01-04,GBP,CRC,868.275643
2022-01-04,GBP,CUC,1.353079
2022-01-04,GBP,CUP,35.856601
2022-01-04,GBP,CVE,132.805205
2022-01-04,GBP,CZK,29.602743
2022-01-04,GBP,DJF,240.468927
2022-01-04,GBP,DKK,8.919764
2022-01-04,GBP,DOP,77.666804
2022-01-04,GBP,DZD,188.404103
2022-01-04,GBP,EGP,21.284881
2022-01-04,GBP,ERN,20.296295
2022-01-04,GBP,ETB,66.774235
2022-01-04,GBP,FJD,2.871636
2022-01-04,GBP,FKP,1.020735
2022-01-04,GBP,GEL,4.187814
2022-01-04,GBP,GGP,1.020735
2022-01-04,GBP,GHS,8.368835
2022-01-04,GBP,GIP,1.020735
2022-01-04,GBP,GMD,71.374551
2022-01-04,GBP,GNF,12346.84843
2022-01-04,GBP,GTQ,10.438307
2022-01-04,GBP,GYD,282.848096
2022-01-04,GBP,HKD,10.545697
2022-01-04,GBP,HNL,33.109283
2022-01-04,GBP,HRK,9.013538
2022-01-04,GBP,HTG,133.622665
2022-01-04,GBP,HUF,435.089435
2022-01-04,GBP,IDR,19411.884095
2022-01-04,GBP,ILS,4.175359
2022-01-04,GBP,IMP,1.020735
2022-01-04,GBP,INR,100.851966
2022-01-04,GBP,IQD,1975.495734
2022-01-04,GBP,IRR,57201.426449
2022-01-04,GBP,ISK,177.009398
2022-01-04,GBP,JEP,1.020735
2022-01-04,GBP,JMD,208.702403
2022-01-04,GBP,JOD,0.95929
2022-01-04,GBP,JPY,157.177691
2022-01-04,GBP,KES,153.073935
2022-01-04,GBP,KGS,114.742257
2022-01-04,GBP,KHR,5513.798148
2022-01-04,GBP,KMF,590.010583
2022-01-04,GBP,KPW,1217.771238
2022-01-04,GBP,KRW,1620.314147
2022-01-04,GBP,KWD,0.409672
2022-01-04,GBP,KYD,1.127146
2022-01-04,GBP,KZT,588.338619
2022-01-04,GBP,LAK,15188.314729
2022-01-04,GBP,LBP,2050.00204
2022-01-04,GBP,LKR,274.403759
2022-01-04,GBP,LRD,197.71874
2022-01-04,GBP,LSL,21.662401
2022-01-04,GBP,LTL,3.995291
2022-01-04,GBP,LVL,0.818464
2022-01-04,GBP,LYD,6.207686
2022-01-04,GBP,MAD,12.553195
2022-01-04,GBP,MDL,24.145903
2022-01-04,GBP,MGA,5358.193706
2022-01-04,GBP,MKD,73.865355
2022-01-04,GBP,MMK,2404.8475
2022-01-04,GBP,MNT,3867.62102
2022-01-04,GBP,MOP,10.859156
2022-01-04,GBP,MRO,483.049067
2022-01-04,GBP,MUR,58.317597
2022-01-04,GBP,MVR,20.905299
2022-01-04,GBP,MWK,1101.406246
2022-01-04,GBP,MXN,27.787648
2022-01-04,GBP,MYR,5.663968
2022-01-04,GBP,MZN,86.367305
2022-01-04,GBP,NAD,21.662289
2022-01-04,GBP,NGN,558.469401
2022-01-04,GBP,NIO,47.885663
2022-01-04,GBP,NOK,11.993289
2022-01-04,GBP,NPR,161.095402
2022-01-04,GBP,NZD,1.986002
2022-01-04,GBP,OMR,0.520966
2022-01-04,GBP,PAB,1.352528
2022-01-04,GBP,PEN,5.354814
2022-01-04,GBP,PGK,4.769608
2022-01-04,GBP,PHP,69.791933
2022-01-04,GBP,PKR,239.090779
2022-01-04,GBP,PLN,5.473679
2022-01-04,GBP,PYG,9304.324148
2022-01-04,GBP,QAR,4.926529
2022-01-04,GBP,RON,5.932709
2022-01-04,GBP,RSD,140.977796
2022-01-04,GBP,RUB,101.88417
2022-01-04,GBP,RWF,1369.992761
2022-01-04,GBP,SAR,5.081631
2022-01-04,GBP,SBD,10.934019
2022-01-04,GBP,SCR,18.553433
2022-01-04,GBP,SDG,591.975537
2022-01-04,GBP,SEK,12.311805
2022-01-04,GBP,SGD,1.834437
2022-01-04,GBP,SHP,1.863738
2022-01-04,GBP,SLL,15235.67306
2022-01-04,GBP,SOS,790.198553
2022-01-04,GBP,SRD,28.831399
2022-01-04,GBP,STD,28006.009036
2022-01-04,GBP,SVC,11.835215
2022-01-04,GBP,SYP,3399.601901
2022-01-04,GBP,SZL,21.662856
2022-01-04,GBP,THB,44.989208
2022-01-04,GBP,TJS,15.276581
2022-01-04,GBP,TMT,4.749308
2022-01-04,GBP,TND,3.901601
2022-01-04,GBP,TOP,3.084076
2022-01-04,GBP,TRY,18.154939
2022-01-04,GBP,TTD,9.189534
2022-01-04,GBP,TWD,37.25095
2022-01-04,GBP,TZS,3112.082805
2022-01-04,GBP,UAH,36.914909
2022-01-04,GBP,UGX,4792.020808
2022-01-04,GBP,UYU,60.466853
2022-01-04,GBP,UZS,14640.317994
2022-01-04,GBP,VEF,289329241177.0069
2022-01-04,GBP,VND,30788.642253
2022-01-04,GBP,VUV,153.239817
2022-01-04,GBP,WST,3.518237
2022-01-04,GBP,XAF,786.817683
2022-01-04,GBP,XAG,0.058682
2022-01-04,GBP,XAU,0.000746
2022-01-04,GBP,XCD,3.656765
2022-01-04,GBP,XDR,0.965474
2022-01-04,GBP,XOF,785.452675
2022-01-04,GBP,XPF,143.595583
2022-01-04,GBP,YER,338.607933
2022-01-04,GBP,ZAR,21.70036
2022-01-04,GBP,ZMK,12179.338385
2022-01-04,GBP,ZMW,22.62137
2022-01-04,GBP,ZWL,435.690973
2022-01-05,GBP,USD,1.355657
2022-01-05,GBP,EUR,1.198269
2022-01-05,GBP,AED,4.979466
2022-01-05,GBP,AFN,142.683102
2022-01-05,GBP,ALL,144.92315
2022-01-05,GBP,AMD,655.004926
2022-01-05,GBP,ANG,2.443974
2022-01-05,GBP,AOA,749.20782
2022-01-05,GBP,ARS,139.772022
2022-01-05,GBP,AUD,1.877251
2022-01-05,GBP,AWG,2.44086
2022-01-05,GBP,AZN,2.292922
2022-01-05,GBP,BAM,2.34325
2022-01-05,GBP,BBD,2.737946
2022-01-05,GBP,BDT,116.317459
2022-01-05,GBP,BGN,2.3438
2022-01-05,GBP,BHD,0.511146
2022-01-05,GBP,BIF,2720.125534
2022-01-05,GBP,BMD,1.355657
2022-01-05,GBP,BND,1.837677
2022-01-05,GBP,BOB,9.363412
2022-01-05,GBP,BRL,7.739677
