Date,Source_currency,Target_currency,Exchange_rate
2022-01-03,EUR,HTG,112.98772
2022-01-03,EUR,HUF,367.114141
2022-01-03,EUR,IDR,16170.038522
2022-01-03,EUR,ILS,3.515588
2022-01-03,EUR,IMP,0.852434
2022-01-03,EUR,INR,84.073748
2022-01-03,EUR,IQD,1649.773322
2022-01-03,EUR,IRR,47741.727963
2022-01-03,EUR,ISK,147.62041
2022-01-03,EUR,JEP,0.852434
2022-01-03,EUR,JMD,173.994041
2022-01-03,EUR,JOD,0.801174
2022-01-03,EUR,JPY,130.330931
2022-01-03,EUR,KES,127.85714
2022-01-03,EUR,KGS,95.827092
2022-01-03,EUR,KHR,4604.675113
2022-01-03,EUR,KMF,492.954556
2022-01-03,EUR,KPW,1016.983467
2022-01-03,EUR,KRW,1351.10844
2022-01-03,EUR,KWD,0.341842
2022-01-03,EUR,KYD,0.942012
2022-01-03,EUR,KZT,491.720983
2022-01-03,EUR,LAK,12661.445649
2022-01-03,EUR,LBP,1707.199017
2022-01-03,EUR,LKR,229.333954
2022-01-03,EUR,LRD,164.694794
2022-01-03,EUR,LSL,17.887957
2022-01-03,EUR,LTL,3.336542
2022-01-03,EUR,LVL,0.683515
2022-01-03,EUR,LYD,5.215883
2022-01-03,EUR,MAD,10.477755
2022-01-03,EUR,MDL,20.087126
2022-01-03,EUR,MGA,4480.377361
2022-01-03,EUR,MKD,61.650827
2022-01-03,EUR,MMK,2009.886516
2022-01-03,EUR,MNT,3229.922428
2022-01-03,EUR,MOP,9.079174
2022-01-03,EUR,MRO,403.403282
2022-01-03,EUR,MUR,49.25626
2022-01-03,EUR,MVR,17.457903
2022-01-03,EUR,MWK,920.935293
2022-01-03,EUR,MXN,23.162028
2022-01-03,EUR,MYR,4.714852
2022-01-03,EUR,MZN,72.126811
2022-01-03,EUR,NAD,17.898713
2022-01-03,EUR,NGN,466.388542
2022-01-03,EUR,NIO,39.973091
2022-01-03,EUR,NOK,10.026413
2022-01-03,EUR,NPR,134.428131
2022-01-03,EUR,NZD,1.664541
2022-01-03,EUR,OMR,0.435037
2022-01-03,EUR,PAB,1.130455
2022-01-03,EUR,PEN,4.480412
2022-01-03,EUR,PGK,3.988328
2022-01-03,EUR,PHP,58.129086
2022-01-03,EUR,PKR,199.475408
2022-01-03,EUR,PLN,4.576336
2022-01-03,EUR,PYG,7767.943103
2022-01-03,EUR,QAR,4.114254
2022-01-03,EUR,RON,4.948525
2022-01-03,EUR,RSD,117.009285
2022-01-03,EUR,RUB,84.079453
